[Epoch 1]	Learning rate: 1.00e-5
[8000/16000]	[L1: 3.1322]	42.4+0.5s
[8800/16000]	[L1: 3.1307]	42.3+0.5s
[9600/16000]	[L1: 3.1333]	42.2+0.5s
[10400/16000]	[L1: 3.1348]	42.2+0.5s
[11200/16000]	[L1: 3.1339]	42.4+0.5s
[12000/16000]	[L1: 3.1346]	42.2+0.5s
[12800/16000]	[L1: 3.1355]	42.1+0.5s
[13600/16000]	[L1: 3.1372]	42.3+0.5s
[14400/16000]	[L1: 3.1379]	42.2+0.5s
[15200/16000]	[L1: 3.1382]	41.8+0.5s
[16000/16000]	[L1: 3.1389]	42.2+0.5s
[Epoch 7]	Learning rate: 2.50e-6
[800/16000]	[L1: 3.1243]	42.2+0.7s
[1600/16000]	[L1: 3.1187]	42.4+0.5s
[2400/16000]	[L1: 3.1257]	41.8+0.5s
[3200/16000]	[L1: 3.1311]	42.1+0.5s
[4000/16000]	[L1: 3.1211]	42.3+0.5s
[4800/16000]	[L1: 3.1235]	42.4+0.5s
[5600/16000]	[L1: 3.1192]	42.4+0.5s
[6400/16000]	[L1: 3.1191]	42.4+0.5s
[7200/16000]	[L1: 3.1219]	42.0+0.6s
[8000/16000]	[L1: 3.1232]	42.3+0.5s
[8800/16000]	[L1: 3.1232]	42.4+0.5s
[9600/16000]	[L1: 3.1249]	42.5+0.5s
[10400/16000]	[L1: 3.1260]	42.6+0.5s
[11200/16000]	[L1: 3.1258]	42.4+0.5s
[12000/16000]	[L1: 3.1271]	42.2+0.5s
[12800/16000]	[L1: 3.1273]	42.3+0.5s
[13600/16000]	[L1: 3.1285]	42.3+0.5s
[14400/16000]	[L1: 3.1293]	42.1+0.5s
[15200/16000]	[L1: 3.1290]	42.3+0.5s
[16000/16000]	[L1: 3.1290]	42.2+0.5s
[Epoch 8]	Learning rate: 2.50e-6
[800/16000]	[L1: 3.1413]	42.0+0.7s
[1600/16000]	[L1: 3.1272]	42.4+0.5s
[2400/16000]	[L1: 3.1323]	42.3+0.5s
[3200/16000]	[L1: 3.1372]	42.3+0.5s
[4000/16000]	[L1: 3.1292]	42.5+0.5s
[4800/16000]	[L1: 3.1280]	42.0+0.5s
[5600/16000]	[L1: 3.1252]	42.0+0.5s
[6400/16000]	[L1: 3.1275]	41.9+0.5s
[7200/16000]	[L1: 3.1283]	41.9+0.5s
[8000/16000]	[L1: 3.1284]	41.9+0.5s
[8800/16000]	[L1: 3.1302]	41.9+0.5s
[9600/16000]	[L1: 3.1280]	42.1+0.5s
[10400/16000]	[L1: 3.1282]	42.1+0.5s
[11200/16000]	[L1: 3.1281]	42.2+0.5s
[12000/16000]	[L1: 3.1288]	42.0+0.5s
[12800/16000]	[L1: 3.1266]	42.0+0.5s
[13600/16000]	[L1: 3.1239]	42.4+0.5s
[14400/16000]	[L1: 3.1230]	42.1+0.5s
[15200/16000]	[L1: 3.1223]	42.2+0.5s
[16000/16000]	[L1: 3.1210]	42.4+0.5s
[Epoch 9]	Learning rate: 2.50e-6
[800/16000]	[L1: 3.1161]	42.0+0.8s
[1600/16000]	[L1: 3.1243]	42.1+0.5s
[2400/16000]	[L1: 3.1234]	41.9+0.5s
[3200/16000]	[L1: 3.1257]	42.0+0.5s
[4000/16000]	[L1: 3.1281]	42.1+0.4s
[4800/16000]	[L1: 3.1234]	41.6+0.5s
[5600/16000]	[L1: 3.1220]	41.3+0.4s
[6400/16000]	[L1: 3.1234]	41.7+0.5s
[7200/16000]	[L1: 3.1212]	41.9+0.5s
[8000/16000]	[L1: 3.1206]	42.3+0.5s
[8800/16000]	[L1: 3.1216]	42.1+0.5s
[9600/16000]	[L1: 3.1210]	42.2+0.5s
[10400/16000]	[L1: 3.1230]	42.1+0.5s
[11200/16000]	[L1: 3.1222]	42.1+0.5s
[12000/16000]	[L1: 3.1204]	41.9+0.5s
[12800/16000]	[L1: 3.1192]	42.0+0.5s
[13600/16000]	[L1: 3.1188]	42.1+0.5s
[14400/16000]	[L1: 3.1184]	41.9+0.5s
[15200/16000]	[L1: 3.1187]	41.8+0.5s
[16000/16000]	[L1: 3.1187]	41.3+0.5s
[Epoch 10]	Learning rate: 1.25e-6
[800/16000]	[L1: 3.0727]	41.3+0.6s
[1600/16000]	[L1: 3.1140]	42.1+0.5s
[2400/16000]	[L1: 3.1200]	42.0+0.5s
[3200/16000]	[L1: 3.1227]	42.1+0.5s
[4000/16000]	[L1: 3.1268]	42.3+0.5s
[4800/16000]	[L1: 3.1208]	41.8+0.5s
[5600/16000]	[L1: 3.1191]	42.3+0.5s
[6400/16000]	[L1: 3.1212]	42.3+0.5s
[7200/16000]	[L1: 3.1182]	42.2+0.5s
[8000/16000]	[L1: 3.1214]	42.2+0.5s
[8800/16000]	[L1: 3.1213]	42.3+0.5s
[9600/16000]	[L1: 3.1196]	41.4+0.5s
[10400/16000]	[L1: 3.1190]	42.2+0.5s
[11200/16000]	[L1: 3.1203]	42.5+0.5s
[12000/16000]	[L1: 3.1196]	42.2+0.5s
[12800/16000]	[L1: 3.1174]	42.4+0.5s
[13600/16000]	[L1: 3.1168]	42.4+0.5s
[14400/16000]	[L1: 3.1158]	42.4+0.5s
[15200/16000]	[L1: 3.1168]	42.4+0.5s
[16000/16000]	[L1: 3.1164]	42.3+0.5s
[Epoch 11]	Learning rate: 1.25e-6
[800/16000]	[L1: 3.1434]	42.4+0.7s
[1600/16000]	[L1: 3.1221]	42.5+0.5s
[2400/16000]	[L1: 3.1168]	42.6+0.5s
[3200/16000]	[L1: 3.1203]	42.0+0.5s
[4000/16000]	[L1: 3.1194]	42.1+0.5s
[4800/16000]	[L1: 3.1187]	42.5+0.5s
[5600/16000]	[L1: 3.1194]	42.5+0.5s
[6400/16000]	[L1: 3.1210]	42.6+0.5s
[7200/16000]	[L1: 3.1186]	42.5+0.5s
[8000/16000]	[L1: 3.1153]	42.0+0.5s
[8800/16000]	[L1: 3.1197]	42.2+0.5s
[9600/16000]	[L1: 3.1176]	42.2+0.5s
[10400/16000]	[L1: 3.1147]	42.5+0.5s
[11200/16000]	[L1: 3.1128]	42.3+0.5s
[12000/16000]	[L1: 3.1129]	42.4+0.5s
[12800/16000]	[L1: 3.1135]	42.2+0.5s
[13600/16000]	[L1: 3.1138]	42.2+0.5s
[14400/16000]	[L1: 3.1130]	42.5+0.5s
[15200/16000]	[L1: 3.1129]	42.5+0.5s
[16000/16000]	[L1: 3.1122]	42.4+0.5s
[Epoch 12]	Learning rate: 1.25e-6
[800/16000]	[L1: 3.1057]	42.0+0.7s
[1600/16000]	[L1: 3.1212]	41.9+0.5s
[2400/16000]	[L1: 3.1200]	42.6+0.5s
[3200/16000]	[L1: 3.1146]	42.0+0.5s
[4000/16000]	[L1: 3.1102]	42.3+0.5s
